"web_scraper_order","web_scraper_start_url","price","name","brand","data","data2","data3","image","Brand","Ref","Sex","Movement","Case diametr, mm","Case material","Strap","Complications","Condition report","Waterproof","Caliber","SKU","Case shape","Insert"
"1773071530-29","https://watchlab.ae/catalog/watch/","Our price:                                                                        21 000 AED                                                                                            Retail price:  22 100 AED","Cartier PANTHÈRE DE CARTIER Steel Medium","Cartier","","","","","Cartier","WSPN0007 / WSPN0015","Female","Quartz","26","Steel","Bracelet","Quartz","Brand new","30 m","","8361","",""
"1773071530-30","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Omega Seamaster DIVER 300M CO‑AXIAL MASTER CHRONOMETER 42 MM Green Dial","Omega","","","","","Omega","210.30.42.20.10.001","Male","Automatic","42","Steel","Bracelet","Mechanical self-winding, Date","Brand new","300 m","","3359","",""
"1773071530-31","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Oyster Perpetual 34mm Lavender","Rolex","","","","","Rolex","124200","Unisex","Automatic","34","Steel","Bracelet","Mechanical self-winding","Brand new","100 m","3130","16539","",""
"1773071530-32","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  67 000 AED","Bvlgari Lvcea Watch Steel & Rose Gold malachite marquetry dial Diamonds","Bvlgari","","","","","Bvlgari","103731","Female","Quartz","33","Steel, Rose gold, Diamonds","Bracelet","Quartz","Brand new","50 m","","15658","",""
"1773071530-33","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 41mm Steel & Rose Gold Wimbledon dial Oyster bracelet","Rolex","","","","","Rolex","126331","Unisex","","41","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","3235","15075","",""
"1773071530-34","https://watchlab.ae/catalog/watch/","Our price:                                                                        29 000 AED                                                                                            Retail price:  38 900 AED","Franck Muller Vanguard Golf Black Titanium 45mm","Franck Muller","","","","","Franck Muller","V45 SC DT GOLF TT NR BRNC","Male","Automatic","44","Titanium","","Mechanical self-winding","Brand new","30 m","","7082","Barrel",""
"1773071530-35","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Rose Gold Diamond bezel Silver Diamond Dial Oyster Bracelet","Rolex","","","","","Rolex","278381rbr","Female","Automatic","31","Steel, Rose gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16526","",""
"1773071530-36","https://watchlab.ae/catalog/watch/","Our price:                                                                        330 300 AED","Richard Mille RM 028 Americas Diver Watch Limited Edition of 30 pieces","Richard Mille","","","","","Richard Mille","RM 028 AX Ti","Male","Automatic","47","Titanium","Rubber","Mechanical self-winding, Date","Perfect condition","300 m","RMAS7","6374","",""
"1773071530-37","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Oyster Perpetual 31mm Lavender","Rolex","","","","","Rolex","277200","Female","Automatic","31","Steel","Bracelet","Mechanical self-winding","Brand new","100 m","2232","16532","",""
"1773071530-38","https://watchlab.ae/catalog/watch/","Our price:                                                                        27 500 AED","Ōtsuka Lōtek Detail № 7.5","Ōtsuka Lōtek","","","","","Ōtsuka Lōtek","P75","Male","Automatic","40","Steel","Leather","Mechanical self-winding","Brand new","30 m","Miyota 82S5","18024","",""
"1773071530-39","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Audemars Piguet Royal Oak Offshore  Alinghi Team Chronograph","Audemars Piguet","","","","","Audemars Piguet","26062OR.OO.A002CA.01","","Automatic","44","Rose gold","Rubber","Mechanical self-winding, Chronograph","","100 m","AP 2326/2848","1038","",""
"1773071530-40","https://watchlab.ae/catalog/watch/","Our price:                                                                        15 500 AED","Breitling Superocean Heritage II B20 Automatic Green Dial","Breitling","","","","","Breitling","AB2010121L1S1","Male","","42","Steel","Bracelet","Mechanical self-winding, Date","Near-new condition, barely worn. Full 8-year official international warranty. Includes additional original stainless steel bracelet.","200 м","Breitling B20","17101","",""
"1773071530-41","https://watchlab.ae/catalog/watch/","Our price:                                                                        46 000 AED                                                                                            Retail price:  68 288 AED","Franck Muller Vanguard Racing Blackand Green Carbon 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT RCG KRYPTON 2 CARBONE NR (VE) CARB","Male","Automatic","44","carbon","Leather","Mechanical self-winding, Date","Brand new","30 m","","7080","Barrel",""
"1773071530-42","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST                                                                                                                                 Retail price:  42 756 AED","Franck Muller Vanguard Yachting Blue 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT AC BL YACHT","Male","Automatic","44","Steel","Leather","Mechanical self-winding, Date","Brand new","30 m","","7013","Barrel",""
"1773071530-43","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Everose Gold Sundust Dial Domed Diamond Bezel Jubilee","Rolex","","","","","Rolex","278341rbr","Female","Automatic","31","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16431","",""
"1773071530-44","https://watchlab.ae/catalog/watch/","Our price:                                                                        25 000 AED","Louis Erard x Konstantin Chaykin Le Régulateur Time Eater III Limited Edition of 178 Pieces","Louis Erard","","","","","Louis Erard","85237AA90.BGA087","Male","Automatic","42","Steel","Leather","Mechanical self-winding","Brand new","100 m","Selita SW266-1","17475","",""
"1773071530-45","https://watchlab.ae/catalog/watch/","Our price:                                                                        28 800 AED                                                                                            Retail price:  38 393 AED","Franck Muller Vanguard Steel Blue Concept 45mm","Franck Muller","","","","","Franck Muller","V 45 SC DT AC BL CONC","Male","Automatic","45","Steel","Leather","Mechanical self-winding, Date","Brand new","30 m","","7053","Barrel",""
"1773071530-46","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Rose Gold Diamond bezel White Roman Dial Oyster Bracelet","Rolex","","","","","Rolex","278381rbr","Female","Automatic","31","Steel, Rose gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16523","",""
"1773071530-47","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Lady-Datejust 28mm Steel & White Gold Dark Grey Diamond Dial Diamond Bezel","Rolex","","","","","Rolex","279384rbr","Female","Automatic","28","Steel, White gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16253","",""
"1773071530-48","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Audemars Piguet Royal Oak Chronograph 41mm Black Dial","Audemars Piguet","","","","","Audemars Piguet","26240ST.OO.1320ST.06","Male","Automatic","41","Steel","Bracelet","Mechanical self-winding, Chronograph, Date","This 41mm self-winding chronograph showcases the latest design update for the Royal Oak collection. Its stainless steel case and dial are complemented by a black dial with a Grande Tapisserie pattern.","","","3386","",""
"1773071530-49","https://watchlab.ae/catalog/watch/","Our price:                                                                        93 600 AED","Hublot Big Bang Sang Bleu II Blue Ceramic","Hublot","","","","","Hublot","418.EX.5107.RX.MXM21","Male","","45","Ceramics","Rubber","Mechanical self-winding, Chronograph","Brand new, limited edition","100 m","Caliber HUB1240","522","",""
"1773071530-50","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel and Rose Gold Sundust Dial Oyster Bracelet","Rolex","","","","","Rolex","278271","Female","Automatic","31","Steel, Rose gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16418","",""
"1773071530-51","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Lady-Datejust 28mm Steel & White Gold Silver Roman Dial Jubilee Bracelet","Rolex","","","","","Rolex","279174","Female","Automatic","28","Steel, White gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16239","",""
"1773071530-52","https://watchlab.ae/catalog/watch/","Our price:                                                                        42 000 AED","Rolex Lady-Datejust 31mm Custom Full Pave Iced Out Diamonds","Rolex","","","","","Rolex","278240 Fix","Female","Automatic","31","Steel, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new, aftermarket diamond setting","30m","Rolex 2236","15633","",""
"1773071530-53","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Yellow Gold White Roman Dial Diamond Bezel Jubilee","Rolex","","","","","Rolex","278383rbr","Female","Automatic","31","Steel, Yellow Gold","Bracelet","Mechanical self-winding, Date","Brand new","100 m","2236","16388","",""
"1773071530-54","https://watchlab.ae/catalog/watch/","Our price:                                                                        PRICE ON REQUEST","Rolex Datejust 31mm Steel & Rose Gold Diamond bezel Brown Diamond Dial Oyster Bracelet","Rolex","","","","","Rolex","278381rbr","Female","Automatic","31","Steel, Rose gold, Diamonds","Bracelet","Mechanical self-winding, Date","Brand new","100 m","Rolex 2236","16524","",""
